interval,time,PFRup,PFRdn,AGCup,AGCdn
190,00:15:45,,,,
191,00:15:50,,,,
192,00:15:55,,,,
193,00:16:00,,,,
194,00:16:05,,,,
195,00:16:10,,,,
196,00:16:15,,,,
197,00:16:20,,,,
198,00:16:25,,,,
199,00:16:30,,,,
200,00:16:35,,,,
201,00:16:40,,,,
202,00:16:45,,,,
203,00:16:50,,,,
204,00:16:55,,,,
205,00:17:00,,,,
206,00:17:05,,,,
207,00:17:10,,,,
208,00:17:15,,,,
209,00:17:20,,,,
210,00:17:25,,,,
211,00:17:30,,,,
212,00:17:35,,,,
213,00:17:40,,,,
214,00:17:45,,,,
215,00:17:50,,,,
216,00:17:55,,,,
217,00:18:00,,,,
218,00:18:05,,,,
219,00:18:10,,,,
220,00:18:15,,,,
221,00:18:20,,,,
222,00:18:25,,,,
223,00:18:30,,,,
224,00:18:35,,,,
225,00:18:40,,,,
226,00:18:45,,,,
227,00:18:50,,,,
228,00:18:55,,,,
229,00:19:00,,,,
230,00:19:05,,,,
231,00:19:10,,,,
232,00:19:15,,,,
233,00:19:20,,,,
234,00:19:25,,,,
235,00:19:30,,,,
236,00:19:35,,,,
237,00:19:40,,,,
238,00:19:45,,,,
239,00:19:50,,,,
240,00:19:55,,,,
241,00:20:00,,,,
242,00:20:05,,,,
243,00:20:10,,,,
244,00:20:15,,,,
245,00:20:20,,,,
246,00:20:25,,,,
247,00:20:30,,,,
248,00:20:35,,,,
249,00:20:40,,,,
250,00:20:45,,,,
251,00:20:50,,,,
252,00:20:55,,,,
253,00:21:00,,,,
254,00:21:05,,,,
255,00:21:10,,,,
256,00:21:15,,,,
257,00:21:20,,,,
258,00:21:25,,,,
259,00:21:30,,,,
260,00:21:35,,,,
261,00:21:40,,,,
262,00:21:45,,,,
263,00:21:50,,,,
264,00:21:55,,,,
265,00:22:00,,,,
266,00:22:05,,,,
267,00:22:10,,,,
268,00:22:15,,,,
269,00:22:20,,,,
270,00:22:25,,,,
271,00:22:30,,,,
272,00:22:35,,,,
273,00:22:40,,,,
274,00:22:45,,,,
275,00:22:50,,,,
276,00:22:55,,,,
277,00:23:00,,,,
278,00:23:05,,,,
279,00:23:10,,,,
280,00:23:15,,,,
281,00:23:20,,,,
282,00:23:25,,,,
283,00:23:30,,,,
284,00:23:35,,,,
285,00:23:40,,,,
286,00:23:45,,,,
287,00:23:50,,,,
288,00:23:55,,,,
